,Date,Closing Day Market Value,Stay or Change Decision,Market Decision,Current Portfolio Value,Current Draw Down,Under/Over EMA,Under/Over EMA Rates,One Day Yield,Two Day Yield,Three Day Yield
51,3/15/1962,71.059998,Stay,Long,10451.27732492114,-1.6113297130908255,Over,Under,Up,Up,Up
52,3/16/1962,70.940002,Stay,Long,10433.628696871909,-1.777474481062069,Over,Under,Up,Up,Up
53,3/19/1962,70.849998,Stay,Long,10420.391196297363,-1.902092749141715,Over,Under,Down,Up,Up
54,3/20/1962,70.660004,Stay,Long,10392.44748619381,-2.1651557599581595,Over,Under,Down,Down,Down
55,3/21/1962,70.510002,Stay,Long,10370.385671594648,-2.372846412023444,Over,Under,Down,Down,Down
56,3/22/1962,70.400002,Stay,Long,10354.207223267907,-2.5251508594786753,Over,Under,Down,Down,Down
57,3/23/1962,70.449997,Stay,Long,10361.56032803241,-2.4559284881102705,Over,Under,Down,Down,Down
58,3/26/1962,69.889999,Change,Short,10279.197612522608,-3.231293815074232,Over,Under,Up,Down,Down
59,3/27/1962,69.699997,Change,Long,10307.142499240586,-2.9682197275706756,Over,Under,Down,Down,Down
60,3/28/1962,70.040001,Stay,Long,10357.421836818061,-2.494888381232907,Over,Under,Down,Down,Down
61,3/29/1962,70.010002,Stay,Long,10352.985624750007,-2.5366510283158505,Over,Under,Up,Up,Down
62,3/30/1962,69.550003,Stay,Long,10284.961586778983,-3.177031570850697,Over,Under,Down,Up,Up
63,4/2/1962,69.370003,Stay,Long,10258.34342709867,-3.427615806156148,Under,Under,Down,Down,Down
64,4/3/1962,68.809998,Stay,Long,10175.530635366595,-4.207218165557435,Under,Under,Down,Down,Down
65,4/4/1962,68.489998,Stay,Long,10128.209462601597,-4.652701250544888,Under,Under,Down,Down,Down
66,4/5/1962,68.910004,Stay,Long,10190.319389127648,-4.067996348690994,Under,Under,Down,Down,Down
67,4/6/1962,68.839996,Stay,Long,10179.966699555986,-4.165456910609122,Under,Under,Up,Up,Down
68,4/9/1962,68.309998,Stay,Long,10101.591302921282,-4.9032854858503505,Under,Under,Down,Up,Up
69,4/10/1962,68.559998,Stay,Long,10138.560969143939,-4.555251825703898,Under,Under,Down,Down,Down
70,4/11/1962,68.410004,Stay,Long,10116.380056682336,-4.76406366898392,Under,Under,Up,Down,Down
71,4/12/1962,67.900002,Stay,Long,10040.961641830787,-5.474055119951982,Under,Under,Down,Up,Down
72,4/13/1962,67.900002,Stay,Long,10040.961641830787,-5.474055119951982,Under,Under,Down,Down,Down
73,4/16/1962,67.599998,Stay,Long,9996.59745084894,-5.891701080666289,Under,Under,Equal,Down,Down
74,4/17/1962,67.900002,Stay,Long,10040.961641830787,-5.474055119951982,Under,Under,Down,Down,Down
75,4/18/1962,68.269997,Change,Short,10095.676008446993,-4.958972263608419,Under,Under,Up,Equal,Equal
76,4/19/1962,68.589996,Stay,Short,10048.354983560657,-5.404453956461264,Under,Under,Up,Up,Up
77,4/23/1962,68.529999,Stay,Short,10057.2272598181,-5.320930054430029,Under,Under,Up,Up,Up
78,4/24/1962,68.459999,Change,Long,10067.578766360444,-5.223480629589017,Under,Under,Down,Up,Up
79,4/25/1962,67.709999,Stay,Long,9957.285395266905,-6.261786071688258,Under,Under,Down,Down,Up
80,4/26/1962,67.050003,Stay,Long,9860.227816935903,-7.175489323106554,Under,Under,Down,Down,Down
81,4/27/1962,66.300003,Stay,Long,9749.934445842364,-8.213794765205783,Under,Under,Down,Down,Down
82,4/30/1962,65.239998,Stay,Long,9594.05241274102,-9.681273378742327,Under,Under,Down,Down,Down
83,5/1/1962,65.699997,Stay,Long,9661.698866620563,-9.044447425328716,Under,Under,Down,Down,Down
84,5/2/1962,65.989998,Stay,Long,9704.34578383456,-8.642967936643087,Under,Under,Up,Down,Down
85,5/3/1962,66.529999,Stay,Long,9783.757158079738,-7.895386633924373,Under,Under,Up,Up,Down
86,5/4/1962,66.239998,Change,Short,9741.11024086574,-8.296866122610002,Under,Under,Up,Up,Up
87,5/7/1962,66.019997,Change,Long,9773.463110111006,-7.992295141853645,Under,Under,Down,Up,Up
88,5/8/1962,65.169998,Stay,Long,9647.631025172694,-9.176882549843357,Under,Under,Down,Down,Up
89,5/9/1962,64.260002,Stay,Long,9512.91710907923,-10.445083809987244,Under,Under,Down,Down,Down
90,5/10/1962,63.57,Stay,Long,9410.770647410915,-11.40669397739652,Under,Under,Down,Down,Down
91,5/11/1962,62.650002,Stay,Long,9274.576056030126,-12.68883436365078,Under,Under,Down,Down,Down
92,5/14/1962,63.099998,Stay,Long,9341.192528395271,-12.061704690267938,Under,Under,Down,Down,Down
93,5/15/1962,64.290001,Stay,Long,9517.358098675766,-10.403276187093214,Under,Under,Up,Down,Down
94,5/16/1962,64.269997,Change,Short,9514.396748101111,-10.431154439314005,Under,Under,Up,Up,Up
95,5/17/1962,63.93,Change,Long,9564.729197177843,-9.957323099566207,Under,Under,Down,Up,Up
96,5/18/1962,63.82,Stay,Long,9548.27181861239,-10.112253405510941,Under,Under,Down,Down,Up
97,5/21/1962,63.59,Stay,Long,9513.860936157345,-10.436198590668145,Under,Under,Down,Down,Down
98,5/22/1962,62.34,Stay,Long,9326.845270640808,-12.196770249131173,Under,Under,Down,Down,Down
99,5/23/1962,61.110001,Stay,Long,9142.822005385065,-13.929171352601488,Under,Under,Down,Down,Down
100,5/24/1962,60.619999,Stay,Long,9069.511565277517,-14.619318259633673,Under,Under,Down,Down,Down
101,5/25/1962,59.470001,Stay,Long,8897.457452227367,-16.239041368505003,Under,Under,Down,Down,Down
102,5/28/1962,55.5,Stay,Long,8303.495548934308,-21.83061836424095,Under,Under,Down,Down,Down
103,5/29/1962,58.080002,Stay,Long,8689.49618178551,-18.19679564425858,Under,Under,Down,Down,Down
104,5/31/1962,59.630001,Stay,Long,8921.395457413484,-16.013688196221732,Under,Under,Up,Down,Down
105,6/1/1962,59.380001,Change,Short,8883.992324310177,-16.36580252791434,Under,Under,Up,Up,Up
106,6/4/1962,57.27,Change,Long,9199.674917314625,-13.393956159971399,Under,Under,Down,Up,Up
107,6/5/1962,57.57,Stay,Long,9247.865985503806,-12.940283850699386,Under,Under,Down,Down,Down
108,6/6/1962,58.389999,Stay,Long,9379.58807791734,-11.70024771759689,Under,Under,Up,Down,Down
109,6/7/1962,58.400002,Stay,Long,9381.194928767662,-11.685120770564728,Under,Under,Up,Up,Down
110,6/8/1962,58.450001,Change,Short,9389.226612828965,-11.609510231260423,Under,Under,Up,Up,Up
111,6/11/1962,57.82,Stay,Short,9490.42801666314,-10.656796869548135,Under,Under,Up,Up,Up
112,6/12/1962,56.34,Change,Long,9728.170619729764,-8.418680143806178,Under,Under,Down,Down,Down
113,6/13/1962,55.5,Stay,Long,9583.128672257753,-9.78410983282293,Under,Under,Down,Down,Down
114,6/14/1962,54.330002,Stay,Long,9381.106305045425,-11.685955077216025,Under,Under,Down,Down,Down
115,6/15/1962,55.889999,Stay,Long,9650.469403772202,-9.150161959862402,Under,Under,Down,Down,Down
116,6/18/1962,55.740002,Stay,Long,9624.569574016297,-9.393983813509365,Under,Under,Up,Up,Down
117,6/19/1962,55.540001,Stay,Long,9590.035604330167,-9.719087745929656,Under,Over,Down,Up,Up
118,6/20/1962,54.779999,Change,Short,9458.806830327047,-10.95447976320595,Under,Over,Down,Down,Up
119,6/21/1962,53.59,Change,Long,9664.282749910073,-9.020122662610452,Under,Over,Down,Down,Down
